"sex" "ses" "type" "prog" "read" "write" "math" "sci" "soc" "honors" "awards"
"132" "m" "middle" "public" "academic" 73 62 72 67 68 "enrolled" 5
"133" "m" "middle" "public" "vocation" 50 31 40 34 31 "enrolled" 0
"134" "m" "low" "public" "vocation" 44 44 39 34 46 "not enrolled" 0
"135" "f" "low" "public" "vocation" 61 59 63 53 67 "enrolled" 2
"136" "m" "middle" "public" "academic" 67 60 71 65 50 "not enrolled" 2
"137" "f" "high" "public" "academic" 63 66 67 54 60 "enrolled" 5
"138" "m" "high" "public" "academic" 54 63 57 55 46 "enrolled" 4
"139" "f" "middle" "public" "academic" 68 59 61 55 71 "not enrolled" 2
"140" "m" "middle" "public" "vocation" 44 43 38 50 28 "not enrolled" 0
"141" "m" "high" "public" "vocation" 63 44 47 53 56 "not enrolled" 0
"142" "f" "middle" "public" "vocation" 47 42 53 38 51 "not enrolled" 0
"143" "m" "middle" "public" "vocation" 63 63 75 72 66 "enrolled" 4
"144" "m" "high" "public" "general" 61 64 57 63 65 "enrolled" 5
"145" "f" "middle" "public" "vocation" 40 45 36 34 47 "not enrolled" 0
"146" "m" "high" "public" "academic" 55 60 62 65 65 NA 5
"147" "f" "low" "public" "academic" 46 64 51 52 63 "enrolled" 1
"148" "f" "middle" "public" "vocation" 43 59 53 49 59 "not enrolled" 2
"149" "m" "low" "public" "general" 63 49 49 66 46 "not enrolled" 0
"150" "m" "middle" "public" "vocation" 43 42 59 70 30 "not enrolled" 0
"151" "f" "middle" "public" "vocation" 49 47 53 50 48 "not enrolled" 0
"152" "f" "high" "public" "academic" 55 57 56 58 61 "not enrolled" 2
"153" "f" "middle" "public" "vocation" 38 30 42 39 51 "not enrolled" 0
"154" "m" "high" "public" "academic" 65 66 66 60 64 "enrolled" 5
"155" "m" "middle" "public" "general" 44 46 47 37 50 "not enrolled" 0
"156" "f" "middle" "public" "academic" 50 58 55 61 59 "not enrolled" 2
"157" "m" "middle" "public" "general" 67 61 60 75 64 "not enrolled" 2
"158" "f" "middle" "public" "general" 52 52 57 51 51 "not enrolled" 1
"159" "m" "high" "public" "academic" 56 61 55 50 60 "enrolled" 2
"160" "m" "middle" "public" "academic" 54 66 54 52 60 "enrolled" 3
"161" "f" "low" "public" "academic" 57 60 74 59 61 "enrolled" 4
"162" "f" "middle" "public" "vocation" 58 54 39 63 56 NA 0
"163" "f" "low" "public" "academic" 54 58 64 59 56 "not enrolled" 1
"164" "m" "middle" "public" "vocation" 31 37 46 40 46 "not enrolled" 0
"165" "m" "low" "public" "vocation" 35 48 52 59 38 "not enrolled" 0
"166" "f" "middle" "public" "academic" 50 59 54 62 52 "not enrolled" 2
"167" "m" "middle" "public" "general" 62 48 36 68 43 "not enrolled" 1
"168" "m" "middle" "public" "academic" 52 54 57 55 51 "not enrolled" 1
"169" "m" "low" "public" "general" 56 57 65 70 45 "not enrolled" 2
"170" "m" "high" "public" "academic" 49 62 59 71 66 "enrolled" 2
"171" "m" "middle" "public" "academic" 60 52 60 56 66 "not enrolled" 1
"172" "f" "middle" "public" "academic" 47 52 57 53 61 "not enrolled" 1
"173" "f" "low" "public" "general" 49 61 59 62 49 "enrolled" 2
"174" "m" "middle" "private" "academic" 70 60 70 66 55 "not enrolled" 2
"175" "f" "high" "private" "general" 34 59 42 51 42 "not enrolled" 2
"176" "m" "middle" "private" "academic" 45 45 43 40 52 "not enrolled" 0
"177" "m" "middle" "private" "academic" 55 59 62 58 51 "not enrolled" 2
"178" "m" "middle" "private" "vocation" 48 57 57 57 44 "not enrolled" 1
"179" "f" "middle" "private" "academic" 47 65 60 50 56 "enrolled" 5
"180" "f" "high" "private" "academic" 71 65 69 58 71 "enrolled" 5
"181" "m" "middle" "private" "academic" 52 48 46 56 63 "not enrolled" 1
"182" "f" "middle" "private" "academic" 46 51 44 44 49 "not enrolled" 1
"183" "m" "middle" "private" "academic" 61 60 47 57 69 "not enrolled" 2
"184" "f" "middle" "private" "vocation" 51 52 53 56 56 "not enrolled" 0
"185" "m" "middle" "private" "academic" 65 55 56 57 42 "not enrolled" 2
"186" "f" "middle" "private" "academic" 57 62 63 55 41 "enrolled" 3
"187" "f" "middle" "private" "general" 57 41 57 55 52 "not enrolled" 0
"188" "f" "high" "private" "academic" 65 64 58 57 62 "enrolled" 1
"189" "m" "middle" "private" "academic" 47 59 63 53 46 "not enrolled" 2
"190" "f" "middle" "private" "academic" 47 59 54 58 46 "not enrolled" 2
"191" "f" "high" "private" "academic" 45 54 42 49 63 "not enrolled" 0
"192" "m" "high" "private" "academic" 65 67 63 66 71 "enrolled" 7
"193" "f" "middle" "private" "academic" 45 48 49 38 49 "not enrolled" 0
"194" "f" "high" "private" "academic" 63 63 69 61 61 "enrolled" 4
"195" "m" "middle" "private" "general" 57 56 61 57 57 "not enrolled" 2
"196" "f" "high" "private" "academic" 62 64 56 56 62 "enrolled" 2
"197" "m" "high" "private" "academic" 50 44 50 35 62 "not enrolled" 0
"198" "f" "high" "private" "academic" 48 62 49 64 31 "enrolled" 2
"199" "m" "high" "private" "academic" 52 60 52 62 61 "not enrolled" 2
"200" "f" "low" "public" "academic" 47 46 49 33 41 "not enrolled" 0
